Target Distance: 50, Step Size: 2
666: (x,y) = (21.346, 39.8608)
667: (x,y) = (20.0339, 38.3513)
668: (x,y) = (18.1795, 37.6021)
669: (x,y) = (18.8963, 35.735)
670: (x,y) = (17.2189, 34.6457)
671: (x,y) = (16.9061, 32.6703)
672: (x,y) = (17.4573, 34.5928)
673: (x,y) = (15.5255, 35.1105)
674: (x,y) = (17.1228, 36.3141)
675: (x,y) = (17.4356, 34.3387)
676: (x,y) = (16.0463, 35.7774)
677: (x,y) = (15.768, 37.7579)
678: (x,y) = (16.2179, 39.7067)
679: (x,y) = (14.2328, 39.9504)
680: (x,y) = (13.9544, 37.9699)
681: (x,y) = (13.3033, 39.8609)
682: (x,y) = (14.02, 37.9938)
683: (x,y) = (12.3817, 36.8466)
684: (x,y) = (13.471, 35.1693)
685: (x,y) = (13.0211, 37.118)
686: (x,y) = (14.1683, 38.7563)
687: (x,y) = (12.2457, 39.3076)
688: (x,y) = (11.369, 37.51)
689: (x,y) = (10.2797, 35.8326)
690: (x,y) = (11.834, 37.0913)
691: (x,y) = (10.9888, 38.9039)
692: (x,y) = (11.8967, 40.6859)
693: (x,y) = (13.7878, 41.3371)
694: (x,y) = (15.6899, 41.9551)
695: (x,y) = (15.2741, 39.9988)
696: (x,y) = (13.5082, 40.9377)
697: (x,y) = (11.7761, 41.9377)
698: (x,y) = (13.708, 41.4201)
699: (x,y) = (14.2592, 39.4976)
700: (x,y) = (13.8776, 41.4608)
701: (x,y) = (14.996, 43.1189)
702: (x,y) = (14.4113, 45.0315)
703: (x,y) = (14.064, 43.0619)
704: (x,y) = (15.3226, 44.6162)
705: (x,y) = (13.7046, 43.4406)
706: (x,y) = (15.6851, 43.1623)
707: (x,y) = (14.0671, 44.3378)
708: (x,y) = (12.082, 44.0941)
709: (x,y) = (12.7, 45.9962)
710: (x,y) = (13.8184, 47.6543)
711: (x,y) = (11.9913, 48.4678)
712: (x,y) = (12.0262, 50.4675)
